customer_key,customer_id,first_name,last_name,country,martial_status,gender,birthdate,create_date
1,11000,Jon,Yang,Australia,Married,Male,1971-10-06,2025-10-06
2,11001,Eugene,Huang,Australia,Single,Male,1976-05-10,2025-10-06
3,11002,Ruben,Torres,Australia,Married,Male,1971-02-09,2025-10-06
4,11003,Christy,Zhu,Australia,Single,Female,1973-08-14,2025-10-06
5,11004,Elizabeth,Johnson,Australia,Single,Female,1979-08-05,2025-10-06
6,11005,Julio,Ruiz,Australia,Single,Male,1976-08-01,2025-10-06
7,11006,Janet,Alvarez,Australia,Single,Female,1976-12-02,2025-10-06
8,11007,Marco,Mehta,Australia,Married,Male,1969-11-06,2025-10-06
9,11008,Rob,Verhoff,Australia,Single,Female,1975-07-04,2025-10-06
10,11009,Shannon,Carlson,Australia,Single,Male,1969-09-29,2025-10-06
11,11010,Jacquelyn,Suarez,Australia,Single,Female,1969-08-05,2025-10-06
12,11011,Curtis,Lu,Australia,Married,Male,1969-05-03,2025-10-06
13,11012,Lauren,Walker,United states,Married,Female,1979-01-14,2025-10-06
14,11013,Ian,Jenkins,United states,Married,Male,1979-08-03,2025-10-06
15,11014,Sydney,Bennett,United states,Single,Female,1973-11-06,2025-10-06
16,11015,Chloe,Young,United states,Single,Female,1984-08-26,2025-10-06
17,11016,Wyatt,Hill,United states,Married,Male,1984-10-25,2025-10-07
18,11017,Shannon,Wang,Australia,Single,Female,1949-12-24,2025-10-07
19,11018,Clarence,Rai,Australia,Single,Male,1955-10-06,2025-10-07
20,11019,Luke,Lal,Canada,Single,Male,1983-09-04,2025-10-07
21,11020,Jordan,King,Canada,Single,Male,1984-03-19,2025-10-07
22,11021,Destiny,Wilson,United states,Single,Female,1984-03-02,2025-10-07
23,11022,Ethan,Zhang,United states,Married,Male,1984-04-10,2025-10-07
24,11023,Seth,Edwards,United states,Married,Male,1984-04-09,2025-10-07
25,11024,Russell,Xie,United states,Married,Male,1984-03-16,2025-10-07
26,11025,Alejandro,Beck,Australia,Married,Male,1951-06-22,2025-10-07
27,11026,Harold,Sai,Australia,Single,Male,1951-10-01,2025-10-07
28,11027,Jessie,Zhao,Australia,Married,Male,1952-06-05,2025-10-07
29,11028,Jill,Jimenez,Australia,Married,Female,1951-10-09,2025-10-07
30,11029,Jimmy,Moreno,Australia,Married,Male,1952-06-19,2025-10-07
31,11030,Bethany,Yuan,Australia,Married,Female,1958-02-18,2025-10-07
32,11031,Theresa,Ramos,Australia,Married,Female,1953-02-18,2025-10-07
33,11032,Denise,Stone,Australia,Married,Female,1952-12-08,2025-10-07
34,11033,Jaime,Nath,Australia,Married,Male,1958-09-19,2025-10-07
35,11034,Ebony,Gonzalez,Australia,Married,Female,1952-12-16,2025-10-07
36,11035,Wendy,Dominguez,Australia,Married,Female,1953-08-23,2025-10-07
37,11036,Jennifer,Russell,United states,Married,Female,1984-06-16,2025-10-07
38,11037,Chloe,Garcia,Canada,Single,Female,1983-05-27,2025-10-07
39,11038,Diana,Hernandez,Australia,Married,Female,1953-09-20,2025-10-07
40,11039,Marc,Martin,Australia,Married,Male,1954-06-16,2025-10-07
41,11040,Jesse,Murphy,United states,Married,Male,1983-01-29,2025-10-07
42,11041,Amanda,Carter,United states,Married,Female,1983-04-15,2025-10-07
43,11042,Megan,Sanchez,United states,Married,Female,1982-12-11,2025-10-07
44,11043,Nathan,Simmons,United states,Married,Male,1981-08-23,2025-10-07
45,11044,Adam,Flores,Australia,Married,Male,1954-11-21,2025-10-07
46,11045,Leonard,Nara,Australia,Single,Male,1955-11-16,2025-10-07
47,11046,Christine,Yuan,Australia,Married,Female,1955-09-19,2025-10-07
48,11047,Jaclyn,Lu,Australia,Married,Female,1955-08-27,2025-10-07
49,11048,Jeremy,Powell,Australia,Married,Male,1956-05-21,2025-10-07
50,11049,Carol,Rai,United states,Single,Female,1986-01-15,2025-10-07
51,11050,Alan,Zheng,Australia,Married,Male,1957-03-06,2025-10-07
52,11051,Daniel,Johnson,Australia,Single,Male,1957-01-31,2025-10-07
53,11052,Heidi,Lopez,Australia,Single,Female,1957-02-03,2025-10-07
54,11053,Ana,Price,United states,Married,Female,1986-02-17,2025-10-07
55,11054,Deanna,Munoz,Australia,Married,Female,1957-09-07,2025-10-07
56,11055,Gilbert,Raje,Australia,Married,Male,1957-09-02,2025-10-07
57,11056,Michele,Nath,Australia,Married,Female,1958-10-01,2025-10-07
58,11057,Carl,Andersen,Australia,Married,Male,1970-04-07,2025-10-07
59,11058,Marc,Diaz,Australia,Married,Male,1965-04-23,2025-10-07
60,11059,Ashlee,Andersen,Australia,Single,Female,1959-09-29,2025-10-07
61,11060,Jon,Zhou,Australia,Married,Male,1959-09-14,2025-10-07
62,11061,Todd,Gao,Australia,Married,Male,1976-02-20,2025-10-07
63,11062,Noah,Powell,United states,Married,Male,1981-03-01,2025-10-07
64,11063,Angela,Murphy,United states,Single,Female,1980-10-04,2025-10-07
65,11064,Chase,Reed,United states,Married,Male,1981-06-05,2025-10-07
66,11065,Jessica,Henderson,United states,Married,Female,1979-04-08,2025-10-07
67,11066,Grace,Butler,United states,Married,Female,1979-05-27,2025-10-07
68,11067,Caleb,Carter,United states,Single,Male,1982-03-25,2025-10-07
69,11068,Tiffany,Liang,Australia,Single,Female,1966-09-19,2025-10-07
70,11069,Carolyn,Navarro,Australia,Single,Female,1966-09-17,2025-10-07
71,11070,Willie,Raji,Australia,Married,Male,1960-10-02,2025-10-07
72,11071,Linda,Serrano,Australia,Single,Female,1960-12-23,2025-10-07
73,11072,Casey,Luo,Australia,Single,Female,1960-08-05,2025-10-07
74,11073,Amy,Ye,Australia,Single,Female,1962-02-11,2025-10-07
75,11074,Levi,Arun,Australia,Single,Male,1962-02-25,2025-10-07
76,11075,Felicia,Jimenez,Australia,Single,Female,1963-05-16,2025-10-07
77,11076,Blake,Anderson,Australia,Single,Male,1963-01-10,2025-10-07
78,11077,Leah,Ye,Australia,Single,Female,1963-03-19,2025-10-07
79,11078,Gina,Martin,Canada,Single,Female,1985-01-06,2025-10-07
80,11079,Donald,Gonzalez,Australia,Single,Male,1970-03-07,2025-10-07
81,11080,Damien,Chander,Australia,Married,Male,1965-01-13,2025-10-07
82,11081,Savannah,Baker,United states,Married,Female,1972-01-21,2025-10-07
83,11082,Angela,Butler,United states,Single,Female,1972-02-01,2025-10-07
84,11083,Alyssa,Cox,United states,Married,Female,1977-03-11,2025-10-07
